Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Consent object-7 Response,Consent object-7 Quantised
1,1746702375182,08/05/2025 11:06,1746713175182,3,08/05/2025 17:06,226252,1,questionnaire-qxa3,,45982842,BLINDED,13376807,,live,,,mobile,Apple iPhone,iOS 16.3,Yandex 24.1.7.499.10,390x844,390x655,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746705142993,08/05/2025 11:52,1746715942993,3,08/05/2025 17:52,226252,1,questionnaire-qxa3,,45984695,BLINDED,13377225,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,430x932,430x729,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746706403915,08/05/2025 12:13,1746717203915,3,08/05/2025 18:13,226252,1,questionnaire-qxa3,,45985437,BLINDED,13377461,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x900,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746707646228,08/05/2025 12:34,1746740046228,9,09/05/2025 06:34,226252,1,questionnaire-qxa3,,45986329,BLINDED,13377710,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,402x874,402x671,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746709207282,08/05/2025 13:00,1746720007282,3,08/05/2025 19:00,226252,1,questionnaire-qxa3,,45987432,BLINDED,13378131,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,393x852,393x659,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746735179848,08/05/2025 20:12,1746745979848,3,09/05/2025 02:12,226252,1,questionnaire-qxa3,,46002121,BLINDED,13381336,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,428x926,428x745,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746736500552,08/05/2025 20:35,1746747300552,3,09/05/2025 02:35,226252,1,questionnaire-qxa3,,46002697,BLINDED,13381467,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,428x926,428x745,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746736572066,08/05/2025 20:36,1746747372066,3,09/05/2025 02:36,226252,1,questionnaire-qxa3,,46002717,BLINDED,13381472,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1073x715,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746741331536,08/05/2025 21:55,1746777331536,10,09/05/2025 17:55,226252,1,questionnaire-qxa3,,46004538,BLINDED,13381824,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,412x915,411x770,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746803753001,09/05/2025 15:15,1746814553001,3,09/05/2025 21:15,226252,1,questionnaire-qxa3,,46024511,BLINDED,13387690,,complete,,,mobile,Apple iPhone,iOS 18.2.1,Mobile Safari 18.2,402x874,402x678,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746873013048,10/05/2025 10:30,1746883813048,3,10/05/2025 16:30,226252,1,questionnaire-qxa3,,46041441,BLINDED,13390756,,live,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,393x852,393x649,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746958326849,11/05/2025 10:12,1746969126849,3,11/05/2025 16:12,226252,1,questionnaire-qxa3,,46059556,BLINDED,13394169,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746966435901,11/05/2025 12:27,1746977235901,3,11/05/2025 18:27,226252,1,questionnaire-qxa3,,46062665,BLINDED,13394713,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6,393x852,393x659,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746971006880,11/05/2025 13:43,1746985406880,4,11/05/2025 21:43,226252,1,questionnaire-qxa3,,46063979,BLINDED,13394965,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,402x874,402x671,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746973972771,11/05/2025 14:32,1746988372771,4,11/05/2025 22:32,226252,1,questionnaire-qxa3,,46064700,BLINDED,13395769,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,402x874,402x671,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1747107029057,13/05/2025 03:30,1747125029057,5,13/05/2025 13:30,226252,1,questionnaire-qxa3,,46109523,BLINDED,13406921,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1747230983117,14/05/2025 13:56,1747241783117,3,14/05/2025 19:56,226252,1,questionnaire-qxa3,,46176448,BLINDED,13421426,,live,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,384x832,384x700,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1747497968692,17/05/2025 16:06,1747515968692,5,18/05/2025 02:06,226252,1,questionnaire-qxa3,,46277582,BLINDED,13448123,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,390x844,390x648,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1747603778201,18/05/2025 21:29,1747614578201,3,19/05/2025 03:29,226252,1,questionnaire-qxa3,,46291724,BLINDED,13451553,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1280x720,1280x580,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1747677820332,19/05/2025 18:03,1747688620332,3,20/05/2025 00:03,226252,1,questionnaire-qxa3,,46314721,BLINDED,13458005,,complete,,,mobile,Apple iPhone,iOS 16.4.1,Mobile Safari 16.4.1,390x844,390x648,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
