Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1748254724055,26/05/2025 10:18,1748265524055,3,26/05/2025 16:18,226252,1,questionnaire-3zyp,,46504951,BLINDED,13503046,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,430x932,430x739,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1748325737724,27/05/2025 06:02,1748336537724,3,27/05/2025 12:02,226252,1,questionnaire-3zyp,,46532778,BLINDED,13509562,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,430x932,430x729,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,1,2
1,1748326252514,27/05/2025 06:10,1748337052514,3,27/05/2025 12:10,226252,1,questionnaire-3zyp,,46533031,BLINDED,13509577,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 118.0.0.0,2138x1203,2094x1058,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1748347832047,27/05/2025 12:10,1748358632047,3,27/05/2025 18:10,226252,1,questionnaire-3zyp,,46550428,BLINDED,13512555,,complete,,,mobile,Apple iPhone,iOS 16.6,Mobile Safari 16.6,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1748352030701,27/05/2025 13:20,1748362830701,3,27/05/2025 19:20,226252,1,questionnaire-3zyp,,46553381,BLINDED,13513200,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 118.0.0.0,2138x1203,2094x1058,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1748353528383,27/05/2025 13:45,1748364328383,3,27/05/2025 19:45,226252,1,questionnaire-3zyp,,46554461,BLINDED,13513562,,complete,,,mobile,Apple iPhone,iOS 16.0.2,Mobile Safari 16.0.2,428x926,428x730,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1748364417020,27/05/2025 16:46,1748375217020,3,27/05/2025 22:46,226252,1,questionnaire-3zyp,,46564938,BLINDED,13515548,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6,390x844,390x670,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1748407565870,28/05/2025 04:46,1748418365870,3,28/05/2025 10:46,226252,1,questionnaire-3zyp,,46579076,BLINDED,13518316,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1536x864,774x720,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,0,1
1,1748411904166,28/05/2025 05:58,1748422704166,3,28/05/2025 11:58,226252,1,questionnaire-3zyp,,46580668,BLINDED,13518522,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,385x824,384x692,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,4,5
1,1748462634190,28/05/2025 20:03,1748473434190,3,29/05/2025 02:03,226252,1,questionnaire-3zyp,,46615149,BLINDED,13525559,,complete,,,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,430x932,430x739,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
