"","country_res_full","D_self_norm_mean_country","D_other_norm_mean_country","H_self_norm_mean_country","H_other_norm_mean_country","F_self_norm_mean_country","F_other_norm_mean_country","D_norm_mean_country","H_norm_mean_country","F_norm_mean_country","D_self_normc_mean_country","D_other_normc_mean_country","H_self_normc_mean_country","H_other_normc_mean_country","F_self_normc_mean_country","F_other_normc_mean_country","D_normc_mean_country","H_normc_mean_country","F_normc_mean_country"
"55","Taiwan",4.07593984962406,4.55563909774436,4.14586466165414,4.69172932330827,4.80751879699248,4.45263157894737,4.31578947368421,4.4187969924812,4.63007518796992,-0.378947368421053,0.100751879699248,-0.309022556390977,0.236842105263158,0.352631578947368,-0.00225563909774436,-0.139097744360902,-0.0360902255639097,0.175187969924812
"56","Thailand",4.4012987012987,4.70844155844156,4.46298701298701,5.08376623376623,5.2025974025974,4.93051948051948,4.55487012987013,4.77337662337662,5.06655844155844,-0.396969696969697,-0.0898268398268399,-0.335281385281385,0.285497835497835,0.404329004329004,0.132251082251082,-0.243398268398268,-0.0248917748917749,0.268290043290043
"57","The Netherlands",4.65735294117647,4.39816176470588,3.90294117647059,4.08970588235294,4.32352941176471,3.375,4.52712418300654,3.99632352941176,3.84926470588235,0.533375591615957,0.274184415145368,-0.221036173089926,-0.0342714672075726,0.199552062204192,-0.748977349560514,0.403146833446022,-0.127653820148749,-0.274712643678161
"58","Turkey",3.94827343199436,3.67649234020074,4.9510290237467,4.9649577167019,4.8932910723719,4.34928609201481,3.81240241826613,4.9572266197596,4.62083113224159,-0.515776324717784,-0.787840538668453,0.488505467177107,0.500907959989756,0.429222324511685,-0.114744653463449,-0.651930460603066,0.494703063190007,0.15676238438138
"59","Ukraine",4.08240740740741,3.73101851851852,4.55231481481481,4.72418981481481,4.48194444444444,3.99398148148148,3.90671296296296,4.63824588477366,4.23796296296296,-0.178485525755641,-0.52987441464453,0.291421881651767,0.463296881651767,0.221051511281396,-0.266911451681567,-0.354179970200085,0.377352951610614,-0.0229299702000852
"60","United Arab Emirates",4.28387096774194,4.64193548387097,4.78387096774194,5.18387096774194,5.01935483870968,4.8258064516129,4.46290322580645,4.98387096774194,4.92258064516129,-0.505913978494624,-0.147849462365591,-0.00591397849462361,0.394086021505376,0.229569892473118,0.0360215053763441,-0.326881720430107,0.194086021505376,0.132795698924731
"61","United Kingdom",4.50311284046693,4.17898832684825,4.415953307393,4.61945525291829,4.53929961089494,4.12256809338521,4.34105058365759,4.51770428015564,4.33093385214008,0.106549935149157,-0.21757457846952,0.0193904020752269,0.222892347600519,0.142736705577172,-0.273994811932555,-0.0555123216601816,0.121141374837873,-0.0656290531776912
"62","United States",4.46100190234623,4.1647114774889,4.52057704502219,4.62371591629677,4.66743817374762,4.26544071020926,4.31287254280279,4.57216937927147,4.4664271119566,0.0105117384237494,-0.285778686433575,0.0700868810997165,0.173225752374288,0.216948009825145,-0.18504945371322,-0.137617621119687,0.121679215348994,0.0159369480341208
"63","Uzbekistan",4.45555555555556,4.36543209876543,4.26712962962963,4.81064814814815,4.60740740740741,4.21342592592593,4.41030276308054,4.53921222810112,4.41021090534979,0.00272017503887681,-0.0874032817512467,-0.185705750887049,0.357812767631469,0.154572026890729,-0.239409454590753,-0.0425326174361378,0.0863768475844382,-0.0426244751668845
"64","Vietnam",4.46011560693642,4.69364161849711,4.48323699421965,4.86705202312139,5.05780346820809,4.72138728323699,4.57662170841362,4.67514450867052,4.88959537572254,-0.25381037804797,-0.0202843664872765,-0.230688990764733,0.153126038137001,0.343877483223706,0.00746129825260782,-0.137304276570771,-0.0387814763138663,0.175669390738157
