"","country_res_full","D_self_end_mean_country","D_self_end_sd_country","D_other_end_mean_country","D_other_end_sd_country","H_self_end_mean_country","H_self_end_sd_country","H_other_end_mean_country","H_other_end_sd_country","F_self_end_mean_country","F_self_end_sd_country","F_other_end_mean_country","F_other_end_sd_country","D_end_mean_country","D_end_sd_country","H_end_mean_country","H_end_sd_country","F_end_mean_country","F_end_sd_country","D_self_endc_mean_country","D_self_endc_sd_country","D_other_endc_mean_country","D_other_endc_sd_country","H_self_endc_mean_country","H_self_endc_sd_country","H_other_endc_mean_country","H_other_endc_sd_country","F_self_endc_mean_country","F_self_endc_sd_country","F_other_endc_mean_country","F_other_endc_sd_country","D_endc_mean_country","D_endc_sd_country","H_endc_mean_country","H_endc_sd_country","F_endc_mean_country","F_endc_sd_country"
"21","Hong Kong",4.6945054945055,0.553245502539864,5.04615384615385,0.627571632442189,3.50769230769231,0.735335262800546,4.22857142857143,0.688684045325368,4.54065934065934,0.687342389526181,3.77142857142857,0.784613948142045,4.87032967032967,0.499442913097406,3.86813186813187,0.577519431299669,4.15604395604396,0.632492211846437,0.396336996336996,0.544295910565235,0.747985347985348,0.529621546482942,-0.79047619047619,0.615143980220986,-0.0695970695970696,0.480088683979475,0.242490842490843,0.464839436876543,-0.526739926739927,0.563613118778961,0.572161172161172,0.433426307298443,-0.43003663003663,0.36120699393906,-0.142124542124542,0.350549310204454
"22","Hungary",4.82296650717703,0.650142064407089,5.10813397129187,0.741106089710032,3.77033492822967,0.736887213386089,3.95598086124402,0.922084553007054,4.02392344497608,0.753315239617772,3.26076555023923,0.828532774735175,4.96555023923445,0.580175950002733,3.86315789473684,0.724117972652812,3.64234449760766,0.691400591494751,0.665948963317384,0.618540278607019,0.951116427432217,0.691966060808737,-0.386682615629984,0.537464713654219,-0.20103668261563,0.619658836396766,-0.133094098883573,0.533140898708866,-0.896251993620415,0.58103455998884,0.8085326953748,0.530421733800921,-0.293859649122807,0.405152058145771,-0.514673046251994,0.402467094658282
"23","India",5.11237113402062,0.65363349092331,5.22422680412371,0.66785217855922,3.94278350515464,0.696780699495723,4.59780927835052,0.787467464381171,4.31907216494845,0.794780885702136,3.86752577319588,0.790693322070312,5.16821305841924,0.585334122428618,4.27024627720504,0.629017975534576,4.09329896907216,0.707148032117109,0.601774499348264,0.572206082393304,0.713630169451357,0.597615036861958,-0.567813129517715,0.534563551760788,0.087212643678161,0.511282064884584,-0.191524469723901,0.530717844821442,-0.643070861476478,0.56688709639778,0.65761642374689,0.498311981665406,-0.240350357467315,0.34124381520726,-0.41729766560019,0.416092840412068
"24","Indonesia",4.96462093862816,0.63978394563807,5.34729241877256,0.553220051201158,3.98303249097473,0.657317376157425,5.05270758122744,0.589000840634718,5.07851985559567,0.516729869231982,4.2557761732852,0.768352175543296,5.15621454357916,0.487503426242451,4.51780986762936,0.51041063710419,4.66734857601284,0.546689297493278,0.184187023400269,0.517347961600765,0.566858503544673,0.483927829968472,-0.797401424253161,0.53606076796664,0.272273665999547,0.363866910763955,0.298085940367778,0.358793781740012,-0.524657741942692,0.556354816050427,0.375780628351274,0.362179049711608,-0.262624047598528,0.28432149068067,-0.113085339215054,0.298738428138631
"25","Iran",4.8740157480315,0.65653146777013,4.39685039370079,0.958941604709726,3.78018372703412,0.781215124929558,4.24619422572178,1.02336773967042,4.4507874015748,0.757384286419085,3.73149606299213,0.846730627711973,4.63534558180227,0.653268013984456,4.01329833770779,0.76384986316484,4.09144065325168,0.731621063833401,0.627180941462777,0.618018578262783,0.150015587132068,0.794487965706631,-0.466651079534598,0.615456017248797,-0.000640580846934286,0.643193114181879,0.203952595006084,0.445690598816941,-0.515338743576593,0.531258165819107,0.388510775233556,0.507996161476806,-0.233536468860933,0.388548575714673,-0.155394153317042,0.360803277773616
"26","Ireland",4.92602739726027,0.701194892320774,5.16164383561644,0.686907347986915,3.66575342465753,0.761617281054342,4.16712328767123,0.907997612961949,4.11232876712329,0.78809637127128,3.38630136986301,0.916108173575884,5.04383561643836,0.61643831388466,3.91643835616438,0.763765106893717,3.74931506849315,0.789184404529842,0.689497716894977,0.666177522227565,0.925114155251142,0.59808802414619,-0.570776255707763,0.514719904818176,-0.0694063926940639,0.529492927261823,-0.124200913242009,0.438405509969929,-0.850228310502283,0.569034358779269,0.807305936073059,0.546798950101002,-0.320091324200913,0.392079755603285,-0.487214611872146,0.388119482405913
"27","Israel",4.83378378378378,0.631764956227414,5.22612612612613,0.705375901477973,3.53603603603604,0.749451904202009,4.05765765765766,0.774485868878491,4.03344594594595,0.716282457657809,3.31936936936937,0.767796271039804,5.02997997997998,0.541949659133337,3.79684684684685,0.654375075526909,3.67627627627628,0.650336292969334,0.666102309205758,0.563389952324195,1.0584446515481,0.651869830068272,-0.63164543854199,0.570179372152282,-0.110023816920369,0.513929255714147,-0.13423552863208,0.518831170392217,-0.848312105208657,0.54083110816915,0.862298505401954,0.465323063349765,-0.370834627731179,0.376918265307,-0.49140519830175,0.390470863835178
"28","Italy",5.04134275618375,0.720511838111588,5.31943462897526,0.671553764452946,3.27455830388693,0.791563524556811,3.94369846878681,0.950885600863121,3.93895759717314,0.844024792009246,3.42279151943463,0.793285973722556,5.18038869257951,0.622743451328716,3.60909893992933,0.751453624307979,3.68087455830389,0.731041918696457,0.884320920540002,0.653713593127066,1.16241279333152,0.675765104730315,-0.882463531756818,0.618907418924918,-0.213323366856936,0.627691321732705,-0.218064238470599,0.544212282304688,-0.734230316209115,0.563949137859918,1.02336685693576,0.587152869168673,-0.547922895714415,0.433364990157879,-0.476147277339857,0.413140246439282
"29","Japan",4.20094339622641,0.638259347306698,4.68679245283019,0.70915332218337,3.31839622641509,0.618731466391889,4.10896226415094,0.682170682586261,4.55424528301887,0.597457889928441,3.46556603773585,0.701058409816088,4.4438679245283,0.515077759521875,3.71367924528302,0.526868307699427,4.00990566037736,0.539149133143421,0.145125786163522,0.61195714907528,0.630974842767296,0.613737912092717,-0.737421383647799,0.517128781471286,0.0531446540880504,0.500989895900942,0.498427672955975,0.448108585556117,-0.590251572327044,0.524918185299726,0.388050314465409,0.430988715028793,-0.342138364779874,0.335714173109558,-0.0459119496855346,0.323469594424623
"30","Kazakhstan",5.0989247311828,0.656488455419524,4.91505376344086,0.762568063470993,3.74838709677419,0.730040633655565,4.43010752688172,0.759259499981591,3.82795698924731,0.798689904373004,3.36344086021505,0.703374621291893,5.0063321385902,0.567015611633801,4.08924731182796,0.601531083730328,3.59569892473118,0.655895335382935,0.868940798417995,0.583767203205307,0.68506983067606,0.64381964815866,-0.481596835990607,0.650539051374168,0.20012359411692,0.506796803297365,-0.402026943517489,0.595457804171819,-0.866543072549747,0.613143633613928,0.776348205825403,0.438341689814239,-0.140736620936843,0.383594207126673,-0.634285008033618,0.478681038228864
