Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1743630267326,02/04/2025 21:44,1743641067326,3.5,03/04/2025 03:44,215994,4,questionnaire-jdx2,,45051536,BLINDED,13101429,,complete,,,mobile,undefined K,Android 11,Chrome 134.0.6998.135,384x854,384x718,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743648274051,03/04/2025 02:44,1743659074051,3.5,03/04/2025 08:44,215994,4,questionnaire-jdx2,,45053521,BLINDED,13102091,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,491x1091,491x982,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743671412554,03/04/2025 09:10,1743682212554,3.5,03/04/2025 15:10,215994,4,questionnaire-jdx2,,45057244,BLINDED,13103183,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,360x780,360x643,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743673190587,03/04/2025 09:39,1743683990587,3.5,03/04/2025 15:39,215994,4,questionnaire-jdx2,,45058636,BLINDED,13103555,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x854,384x718,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743674184364,03/04/2025 09:56,1743684984364,3.5,03/04/2025 15:56,215994,4,questionnaire-jdx2,,45059630,BLINDED,13103844,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1536x864,1014x643,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743676984602,03/04/2025 10:43,1743687784602,3.5,03/04/2025 16:43,215994,4,questionnaire-jdx2,,45061762,BLINDED,13104414,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 136.0,1280x720,1280x587,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743684697978,03/04/2025 12:51,1743695497978,3.5,03/04/2025 18:51,215994,4,questionnaire-jdx2,,45067813,BLINDED,13105890,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,390x844,390x648,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743684895688,03/04/2025 12:54,1743695695688,3.5,03/04/2025 18:54,215994,4,questionnaire-jdx2,,45068026,BLINDED,13105943,,complete,,,mobile,Apple iPhone,iOS 17.3.1,Mobile Safari 17.3.1,390x844,390x648,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743689323308,03/04/2025 14:08,1743700123308,3.5,03/04/2025 20:08,215994,4,questionnaire-jdx2,,45071483,BLINDED,13106919,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,393x873,392x735,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743694644500,03/04/2025 15:37,1743705444500,3.5,03/04/2025 21:37,215994,4,questionnaire-jdx2,,45080002,BLINDED,13108544,,complete,,,mobile,Apple iPhone,iOS 17.5,Mobile Safari 17.5,390x844,390x670,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743705369775,03/04/2025 18:36,1743716169775,3.5,04/04/2025 00:36,215994,4,questionnaire-jdx2,,45087122,BLINDED,13110045,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x701,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743706297786,03/04/2025 18:51,1743717097786,3.5,04/04/2025 00:51,215994,4,questionnaire-jdx2,,45087718,BLINDED,13110198,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x854,384x718,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743756655080,04/04/2025 08:50,1743767455080,3.5,04/04/2025 14:50,215994,4,questionnaire-jdx2,,45099310,BLINDED,13112934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x730,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743758039026,04/04/2025 09:13,1743768839026,3.5,04/04/2025 15:13,215994,4,questionnaire-jdx2,,45100161,BLINDED,13113087,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,393x873,392x740,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743779971622,04/04/2025 15:19,1743790771622,3.5,04/04/2025 21:19,215994,4,questionnaire-jdx2,,45112536,BLINDED,13116243,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x720,1272x602,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743792940846,04/04/2025 18:55,1743803740846,3.5,05/04/2025 00:55,215994,4,questionnaire-jdx2,,45117778,BLINDED,13117969,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,393x873,392x735,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743805165043,04/04/2025 22:19,1743815965043,3.5,05/04/2025 04:19,215994,4,questionnaire-jdx2,,45121562,BLINDED,13119026,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,428x926,428x745,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743834151095,05/04/2025 06:22,1743844951095,3.5,05/04/2025 12:22,215994,4,questionnaire-jdx2,,45123811,BLINDED,13119569,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x728,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743865573244,05/04/2025 15:06,1743876373244,3.5,05/04/2025 21:06,215994,4,questionnaire-jdx2,,45130344,BLINDED,13121722,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,393x873,392x759,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743879350960,05/04/2025 18:55,1743890150960,3.5,06/04/2025 00:55,215994,4,questionnaire-jdx2,,45132869,BLINDED,13122590,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x728,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743963491222,06/04/2025 18:18,1743974291222,3.5,07/04/2025 00:18,215994,4,questionnaire-jdx2,,45151724,BLINDED,13127717,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,384x854,384x723,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744114672592,08/04/2025 12:17,1744125472592,3.5,08/04/2025 18:17,215994,4,questionnaire-jdx2,,45200039,BLINDED,13142515,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1102x620,1102x460,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744266127745,10/04/2025 06:22,1744276927745,3.5,10/04/2025 12:22,215994,4,questionnaire-jdx2,,45267608,BLINDED,13157466,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,360x780,360x650,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744275034506,10/04/2025 08:50,1744285834506,3.5,10/04/2025 14:50,215994,4,questionnaire-jdx2,,45270252,BLINDED,13158133,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,390x844,390x648,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744568344154,13/04/2025 18:19,1744579144154,3.5,14/04/2025 00:19,215994,4,questionnaire-jdx2,,45357508,BLINDED,13182431,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,412x892,411x752,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744570951839,13/04/2025 19:02,1744581751839,3.5,14/04/2025 01:02,215994,4,questionnaire-jdx2,,45358014,BLINDED,13182595,,live,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,390x844,390x648,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744619190829,14/04/2025 08:26,1744629990829,3.5,14/04/2025 14:26,215994,4,questionnaire-jdx2,,45368113,BLINDED,13185553,,complete,,,mobile,undefined K,Android 13,Chrome 135.0.7049.37,385x854,384x723,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744709314088,15/04/2025 09:28,1744720114088,3.5,15/04/2025 15:28,215994,4,questionnaire-jdx2,,45408506,BLINDED,13196372,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x695,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744744876029,15/04/2025 19:21,1744755676029,3.5,16/04/2025 01:21,215994,4,questionnaire-jdx2,,45432348,BLINDED,13202833,,complete,,,mobile,undefined K,Android 10,Samsung Internet 27.0,360x780,360x657,,,0,Consent form Tondro,2,consent,موافقم.,1
