Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1743406449351,31/03/2025 07:34,1743417249351,3,31/03/2025 13:34,209877,4,questionnaire-3zyp,,44943852,BLINDED,13074923,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,360x825,360x728,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1743406241841,31/03/2025 07:30,1743417041841,3,31/03/2025 13:30,209877,4,questionnaire-3zyp,,44943782,BLINDED,13074905,,complete,,,mobile,Apple iPhone,iOS 16.5.1,Mobile Safari 16.5.1,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1743406468151,31/03/2025 07:34,1743417268151,3,31/03/2025 13:34,209877,4,questionnaire-3zyp,,44943858,BLINDED,13074904,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.109,393x873,392x767,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1743407532083,31/03/2025 07:52,1743418332083,3,31/03/2025 13:52,209877,4,questionnaire-3zyp,,44944262,BLINDED,13075005,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,360x806,360x662,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,1,2
1,1745863695027,28/04/2025 18:08,1745874495027,3,29/04/2025 00:08,209877,4,questionnaire-3zyp,,45708139,BLINDED,13300293,,complete,,,mobile,Apple iPhone,iOS 18.1,Mobile Safari 18.1,393x852,393x656,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1745869144149,28/04/2025 19:39,1745879944149,3,29/04/2025 01:39,209877,4,questionnaire-3zyp,,45710541,BLINDED,13301121,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1536x864,1488x748,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1745905644498,29/04/2025 05:47,1745916444498,3,29/04/2025 11:47,209877,4,questionnaire-3zyp,,45717422,BLINDED,13303220,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,3,4
1,1745939028442,29/04/2025 15:03,1745949828442,3,29/04/2025 21:03,209877,4,questionnaire-3zyp,,45732718,BLINDED,13308331,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1366x768,1366x641,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1745940049510,29/04/2025 15:20,1745950849510,3,29/04/2025 21:20,209877,4,questionnaire-3zyp,,45733043,BLINDED,13308349,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1745938949446,29/04/2025 15:02,1745949749446,3,29/04/2025 21:02,209877,4,questionnaire-3zyp,,45732698,BLINDED,13308255,,complete,,,mobile,undefined K,Android 11,Chrome 135.0.7049.110,393x851,392x718,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
